day,I_true,I_observed_noisy,NLS_fitted,EKF_fitted,EINN_fitted_seed1
0.0,1.0,0.0,1.0,0.49502499876243755,1.0
1.0,1.1026261288876282,2.3663545870167386,1.356040161704967,1.6673135930275347,43.45018342581756
2.0,1.225390497506977,0.3547287595478912,1.5787784377744662,0.8887411054066982,-103.78106154134198
3.0,1.3683270677375583,1.1091538328031607,1.7271895257950778,1.0777710641710536,127.17767652321527
4.0,1.5323054830511078,1.4569621760405869,1.834457417775064,1.36747584894523,16.528424555759248
5.0,1.718855649337569,0.97797099725196,1.9192625757027006,1.1719301601365197,-31.90475840744694
6.0,1.930064414192675,0.5622717124097316,1.9921295698657324,0.8375876509517346,-24.734524388862614
7.0,2.1685217419804084,2.8174145441734484,2.0589968450286418,2.152480249523945,-14.654364007895971
8.0,2.4373015883137032,2.7983597013685984,2.123224283407056,2.627988143730569,-13.985398478836657
9.0,2.739967877014027,0.7871048140018373,2.186722222165837,1.5122677310797374,-17.14033056818745
10.0,3.080599467560229,5.4280091219390805,2.2505864017423125,4.106874244511722,-17.717921851983686
11.0,3.4638303433103026,4.432327249062226,2.315455061548851,4.43346014735595,-12.952385186238704
12.0,3.8949028442109865,3.13551566378648,2.3817097776182705,3.7049065626875812,-3.1129434688582722
13.0,4.379732864510668,5.2819311387229195,2.4495884280434677,4.8825508684254615,9.981929367107506
14.0,4.924986710409228,4.458033537088678,2.51924873829979,4.761631261680662,24.088060919205567
15.0,5.538169877406252,5.477480358669225,2.5908040383027813,5.407483867503194,37.1671064576923
16.0,6.227728439757763,7.016572784276963,2.6643433887981987,6.68174309419269,47.66771579305935
17.0,7.003164096252745,5.746495963113069,2.7399429202463446,6.27048955621621,54.60255957486706
18.0,7.875164222710455,8.451021737106384,2.817672230990061,7.966969567796662,57.51964581685629
19.0,8.855748566510627,10.254727561234347,2.897598003963255,9.801474606189185,56.42499701856156
20.0,9.95843449936906,11.280732560101846,2.9797860651862687,11.175196004780222,51.68739480366866
21.0,11.198423034169707,10.86280795846651,3.0643025609310928,11.392450318518026,43.94101954364127
22.0,12.592808119796874,13.729837121218788,3.1512146438712305,13.302019308229694,33.99392469534078
23.0,14.160812062673822,11.864519228390723,3.240590882246101,12.843542814905113,22.74623086982047
24.0,15.924050292239059,15.672148917967998,3.332501513916569,14.977085978747645,11.119842380146432
25.0,17.906829096581895,18.71171229197128,3.427018613656407,17.609373099436933,0.0003785255093985375
26.0,20.136480410568904,17.430940742994736,3.5242162126643275,18.411497746866644,-9.80863180099765
27.0,22.643738248907766,22.458767006715465,3.6241703941783263,21.28996276719965,-17.6196610883238
28.0,25.46316194804605,29.85489516952932,3.7269593698569956,25.75456798557548,-22.883867838471247
29.0,28.633612021541836,36.13034814405776,3.8326635542072807,31.162770528438692,-25.20344884165645
30.0,32.19878515229748,34.7017942418039,3.9413656339798644,35.0618017590375,-24.334723407771016
31.0,36.207815651456755,39.208115450234736,4.053150635034966,39.54266153858008,-20.183135777751463
32.0,40.71595161851756,36.81133944296105,4.168105991695763,41.312292160260036,-12.79143947623399
33.0,45.78531505217941,40.24809267822595,4.286321616993505,44.021543806911396,-2.3223644263143375
34.0,51.48575629982011,44.21446405682904,4.407889970654857,47.45477551879795,10.962931325513383
35.0,57.89581450993715,61.0311439911999,4.532906136856722,54.80985523763269,26.729353400740244
36.0,65.10379718266692,69.9992081728714,4.66146789164134,63.22268822577254,44.59409022387758
37.0,73.2089935166443,68.38627552022068,4.7936757883813605,70.15532504740615,64.1534195100319
38.0,82.32303804594719,72.20821228700922,4.929633225953531,76.74444552160739,85.00905385007937
39.0,92.57144307072546,94.955692500331,5.069446541384088,87.62997091501008,106.79307994628319
40.0,104.09532063362238,107.35249359578802,5.213225080180107,99.91949648576981,129.19065599978222
41.0,117.05331730792058,115.5221230795896,5.361081295460004,112.74408288718948,151.9597454861102
42.0,131.62378787166952,148.33978675657673,5.513130821557307,130.01762549076582,174.94728028624232
43.0,148.00723707667203,146.631325424576,5.669492579080772,146.27981915485188,198.10125957757384
44.0,166.42906221661198,165.3281191744778,5.830288853179472,164.65814580479318,221.4784011878246
45.0,187.14263309195726,166.4032157517175,5.995645403367512,180.9752596937394,245.24706775840573
46.0,210.43275030033556,213.2937276986874,6.165691548521425,204.88473062964246,269.68528977312707
47.0,236.61952759201904,268.4940180137923,6.34056027971675,235.33979397367932,295.1738001422777
48.0,266.06274936515354,267.68956399796525,6.520388354512471,265.2852154304145,322.1840795038222
49.0,299.16676028007714,301.28828940245046,6.70531641077863,298.98373508031125,351.26148670395895
50.0,336.3859504927236,350.9734798559248,6.895489072885264,338.64018067326447,383.00361416468814
51.0,378.23090718928864,388.7261968296061,7.091055064765384,382.3964573837691,418.03406260766684
52.0,425.2753109912855,447.8256358545104,7.29216733004688,433.0347938579034,456.97187437400106
53.0,478.16366443035724,503.82771096739805,7.4989831436182905,490.01885071112076,500.3969017135483
54.0,537.6199490964431,570.8636794445437,7.711664246293976,554.648027497884,548.8114214773972
55.0,604.4573182598084,556.4019063085933,7.930376956063065,613.6479697473202,602.5983514504329
56.0,679.5889427582966,699.978714116466,8.15529231580917,692.0782307590987,661.9764950008993
57.0,764.0401397026626,641.5873048648168,8.386586207265044,754.5319453418682,726.9533704420946
58.0,858.9619260280763,881.8789296939187,8.624439509528472,852.1073497629527,797.2764163970755
59.0,965.6461520065678,843.8179369966455,8.86903821829873,940.3552197227561,872.3837725560539
60.0,1085.5423832123959,1077.8056351317064,9.12057361366025,1058.6459158484124,951.3565096872659
