prior_width,seed,beta_fitted,sigma_fitted,gamma_fitted,mean_rel_error,rhat_beta,rhat_sigma,rhat_gamma
narrow_0.5x,0,0.34041232300087243,0.20361101189079547,0.10015912742535908,0.029253966313459154,1.0061358032076637,1.0194630226881625,1.0053853669485422
narrow_0.5x,1,0.31690137363798293,0.19702320685073357,0.07011046848819051,0.1393278315444623,1.0198901242677092,1.0059329673371384,1.0061483743447313
original_1x,0,0.3729209827399315,0.200369340939809,0.11425377572219104,0.08331561740766912,1.0422450046131257,1.0108844926636462,1.0003121707156917
original_1x,1,0.30851822718747124,0.2246557139377085,0.0680274503028679,0.2021515201134482,1.0299851344053474,1.012598495609999,1.0206358141210439
wide_2x,0,0.39488897066311557,0.22804204286507238,0.12445505197923479,0.18620778152844675,1.0248832852006957,1.0133361083831687,1.0144660707458022
wide_2x,1,0.3137558110278615,0.2239784853516638,0.06881944173405659,0.1933495107075891,1.0258340715412753,1.025472221473837,1.0132454705690055
